QID,title,titleSlug,difficulty,topicTags
1,Two Sum,two-sum,Easy,"array,hash-table"
2,Add Two Numbers,add-two-numbers,Medium,"linked-list,math,recursion"
3,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,Medium,"hash-table,string,sliding-window"
4,Median of Two Sorted Arrays,median-of-two-sorted-arrays,Hard,"array,binary-search,divide-and-conquer"
5,Longest Palindromic Substring,longest-palindromic-substring,Medium,"string,dynamic-programming"
6,Zigzag Conversion,zigzag-conversion,Medium,string
7,Reverse Integer,reverse-integer,Medium,math
8,String to Integer (atoi),string-to-integer-atoi,Medium,string
9,Palindrome Number,palindrome-number,Easy,math
10,Regular Expression Matching,regular-expression-matching,Hard,"string,dynamic-programming,recursion"
11,Container With Most Water,container-with-most-water,Medium,"array,two-pointers,greedy"
12,Integer to Roman,integer-to-roman,Medium,"hash-table,math,string"
13,Roman to Integer,roman-to-integer,Easy,"hash-table,math,string"
14,Longest Common Prefix,longest-common-prefix,Easy,"string,trie"
15,3Sum,3sum,Medium,"array,two-pointers,sorting"
16,3Sum Closest,3sum-closest,Medium,"array,two-pointers,sorting"
17,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,Medium,"hash-table,string,backtracking"
18,4Sum,4sum,Medium,"array,two-pointers,sorting"
19,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,Medium,"linked-list,two-pointers"
20,Valid Parentheses,valid-parentheses,Easy,"string,stack"
21,Merge Two Sorted Lists,merge-two-sorted-lists,Easy,"linked-list,recursion"
22,Generate Parentheses,generate-parentheses,Medium,"string,dynamic-programming,backtracking"
23,Merge k Sorted Lists,merge-k-sorted-lists,Hard,"linked-list,divide-and-conquer,heap-priority-queue,merge-sort"
24,Swap Nodes in Pairs,swap-nodes-in-pairs,Medium,"linked-list,recursion"
25,Reverse Nodes in k-Group,reverse-nodes-in-k-group,Hard,"linked-list,recursion"
26,Remove Duplicates from Sorted Array,remove-duplicates-from-sorted-array,Easy,"array,two-pointers"
27,Remove Element,remove-element,Easy,"array,two-pointers"
28,Find the Index of the First Occurrence in a String,find-the-index-of-the-first-occurrence-in-a-string,Easy,"two-pointers,string,string-matching"
29,Divide Two Integers,divide-two-integers,Medium,"math,bit-manipulation"
30,Substring with Concatenation of All Words,substring-with-concatenation-of-all-words,Hard,"hash-table,string,sliding-window"
31,Next Permutation,next-permutation,Medium,"array,two-pointers"
32,Longest Valid Parentheses,longest-valid-parentheses,Hard,"string,dynamic-programming,stack"
33,Search in Rotated Sorted Array,search-in-rotated-sorted-array,Medium,"array,binary-search"
34,Find First and Last Position of Element in Sorted Array,find-first-and-last-position-of-element-in-sorted-array,Medium,"array,binary-search"
35,Search Insert Position,search-insert-position,Easy,"array,binary-search"
36,Valid Sudoku,valid-sudoku,Medium,"array,hash-table,matrix"
37,Sudoku Solver,sudoku-solver,Hard,"array,hash-table,backtracking,matrix"
38,Count and Say,count-and-say,Medium,string
39,Combination Sum,combination-sum,Medium,"array,backtracking"
40,Combination Sum II,combination-sum-ii,Medium,"array,backtracking"
41,First Missing Positive,first-missing-positive,Hard,"array,hash-table"
42,Trapping Rain Water,trapping-rain-water,Hard,"array,two-pointers,dynamic-programming,stack,monotonic-stack"
43,Multiply Strings,multiply-strings,Medium,"math,string,simulation"
44,Wildcard Matching,wildcard-matching,Hard,"string,dynamic-programming,greedy,recursion"
45,Jump Game II,jump-game-ii,Medium,"array,dynamic-programming,greedy"
46,Permutations,permutations,Medium,"array,backtracking"
47,Permutations II,permutations-ii,Medium,"array,backtracking"
48,Rotate Image,rotate-image,Medium,"array,math,matrix"
49,Group Anagrams,group-anagrams,Medium,"array,hash-table,string,sorting"
50,"Pow(x, n)",powx-n,Medium,"math,recursion"
51,N-Queens,n-queens,Hard,"array,backtracking"
52,N-Queens II,n-queens-ii,Hard,backtracking
53,Maximum Subarray,maximum-subarray,Medium,"array,divide-and-conquer,dynamic-programming"
54,Spiral Matrix,spiral-matrix,Medium,"array,matrix,simulation"
55,Jump Game,jump-game,Medium,"array,dynamic-programming,greedy"
56,Merge Intervals,merge-intervals,Medium,"array,sorting"
57,Insert Interval,insert-interval,Medium,array
58,Length of Last Word,length-of-last-word,Easy,string
59,Spiral Matrix II,spiral-matrix-ii,Medium,"array,matrix,simulation"
60,Permutation Sequence,permutation-sequence,Hard,"math,recursion"
61,Rotate List,rotate-list,Medium,"linked-list,two-pointers"
62,Unique Paths,unique-paths,Medium,"math,dynamic-programming,combinatorics"
63,Unique Paths II,unique-paths-ii,Medium,"array,dynamic-programming,matrix"
64,Minimum Path Sum,minimum-path-sum,Medium,"array,dynamic-programming,matrix"
65,Valid Number,valid-number,Hard,string
66,Plus One,plus-one,Easy,"array,math"
67,Add Binary,add-binary,Easy,"math,string,bit-manipulation,simulation"
68,Text Justification,text-justification,Hard,"array,string,simulation"
69,Sqrt(x),sqrtx,Easy,"math,binary-search"
70,Climbing Stairs,climbing-stairs,Easy,"math,dynamic-programming,memoization"
71,Simplify Path,simplify-path,Medium,"string,stack"
72,Edit Distance,edit-distance,Medium,"string,dynamic-programming"
73,Set Matrix Zeroes,set-matrix-zeroes,Medium,"array,hash-table,matrix"
74,Search a 2D Matrix,search-a-2d-matrix,Medium,"array,binary-search,matrix"
75,Sort Colors,sort-colors,Medium,"array,two-pointers,sorting"
76,Minimum Window Substring,minimum-window-substring,Hard,"hash-table,string,sliding-window"
77,Combinations,combinations,Medium,backtracking
78,Subsets,subsets,Medium,"array,backtracking,bit-manipulation"
79,Word Search,word-search,Medium,"array,backtracking,matrix"
80,Remove Duplicates from Sorted Array II,remove-duplicates-from-sorted-array-ii,Medium,"array,two-pointers"
81,Search in Rotated Sorted Array II,search-in-rotated-sorted-array-ii,Medium,"array,binary-search"
82,Remove Duplicates from Sorted List II,remove-duplicates-from-sorted-list-ii,Medium,"linked-list,two-pointers"
83,Remove Duplicates from Sorted List,remove-duplicates-from-sorted-list,Easy,linked-list
84,Largest Rectangle in Histogram,largest-rectangle-in-histogram,Hard,"array,stack,monotonic-stack"
85,Maximal Rectangle,maximal-rectangle,Hard,"array,dynamic-programming,stack,matrix,monotonic-stack"
86,Partition List,partition-list,Medium,"linked-list,two-pointers"
87,Scramble String,scramble-string,Hard,"string,dynamic-programming"
88,Merge Sorted Array,merge-sorted-array,Easy,"array,two-pointers,sorting"
89,Gray Code,gray-code,Medium,"math,backtracking,bit-manipulation"
90,Subsets II,subsets-ii,Medium,"array,backtracking,bit-manipulation"
91,Decode Ways,decode-ways,Medium,"string,dynamic-programming"
92,Reverse Linked List II,reverse-linked-list-ii,Medium,linked-list
93,Restore IP Addresses,restore-ip-addresses,Medium,"string,backtracking"
94,Binary Tree Inorder Traversal,binary-tree-inorder-traversal,Easy,"stack,tree,depth-first-search,binary-tree"
95,Unique Binary Search Trees II,unique-binary-search-trees-ii,Medium,"dynamic-programming,backtracking,tree,binary-search-tree,binary-tree"
96,Unique Binary Search Trees,unique-binary-search-trees,Medium,"math,dynamic-programming,tree,binary-search-tree,binary-tree"
97,Interleaving String,interleaving-string,Medium,"string,dynamic-programming"
98,Validate Binary Search Tree,validate-binary-search-tree,Medium,"tree,depth-first-search,binary-search-tree,binary-tree"
99,Recover Binary Search Tree,recover-binary-search-tree,Medium,"tree,depth-first-search,binary-search-tree,binary-tree"
100,Same Tree,same-tree,Easy,"tree,depth-first-search,breadth-first-search,binary-tree"
101,Symmetric Tree,symmetric-tree,Easy,"tree,depth-first-search,breadth-first-search,binary-tree"
102,Binary Tree Level Order Traversal,binary-tree-level-order-traversal,Medium,"tree,breadth-first-search,binary-tree"
103,Binary Tree Zigzag Level Order Traversal,binary-tree-zigzag-level-order-traversal,Medium,"tree,breadth-first-search,binary-tree"
104,Maximum Depth of Binary Tree,maximum-depth-of-binary-tree,Easy,"tree,depth-first-search,breadth-first-search,binary-tree"
105,Construct Binary Tree from Preorder and Inorder Traversal,construct-binary-tree-from-preorder-and-inorder-traversal,Medium,"array,hash-table,divide-and-conquer,tree,binary-tree"
