QID,title,titleSlug,difficulty,topicTags
2716,Minimize String Length,minimize-string-length,Easy,"hash-table,string"
2717,Semi-Ordered Permutation,semi-ordered-permutation,Easy,"array,simulation"
2718,Sum of Matrix After Queries,sum-of-matrix-after-queries,Medium,"array,hash-table"
2719,Count of Integers,count-of-integers,Hard,"math,string,dynamic-programming"
2720,Popularity Percentage,popularity-percentage,Hard,database
2721,Execute Asynchronous Functions in Parallel,execute-asynchronous-functions-in-parallel,Medium,
2722,Join Two Arrays by ID,join-two-arrays-by-id,Medium,
2723,Add Two Promises,add-two-promises,Easy,
2724,Sort By,sort-by,Easy,
2725,Interval Cancellation,interval-cancellation,Easy,
2726,Calculator with Method Chaining,calculator-with-method-chaining,Easy,
2727,Is Object Empty,is-object-empty,Easy,
2728,Count Houses in a Circular Street,count-houses-in-a-circular-street,Easy,"array,interactive"
2729,Check if The Number is Fascinating,check-if-the-number-is-fascinating,Easy,"hash-table,math"
2730,Find the Longest Semi-Repetitive Substring,find-the-longest-semi-repetitive-substring,Medium,"string,sliding-window"
2731,Movement of Robots,movement-of-robots,Medium,"array,brainteaser,sorting,prefix-sum"
2732,Find a Good Subset of the Matrix,find-a-good-subset-of-the-matrix,Hard,"array,greedy,bit-manipulation,matrix"
2733,Neither Minimum nor Maximum,neither-minimum-nor-maximum,Easy,"array,sorting"
2734,Lexicographically Smallest String After Substring Operation,lexicographically-smallest-string-after-substring-operation,Medium,"string,greedy"
2735,Collecting Chocolates,collecting-chocolates,Medium,"array,enumeration"
2736,Maximum Sum Queries,maximum-sum-queries,Hard,"array,binary-search,stack,binary-indexed-tree,segment-tree,sorting,monotonic-stack"
2737,Find the Closest Marked Node,find-the-closest-marked-node,Medium,"array,graph,heap-priority-queue,shortest-path"
2738,Count Occurrences in Text,count-occurrences-in-text,Medium,database
2739,Total Distance Traveled,total-distance-traveled,Easy,"math,simulation"
2740,Find the Value of the Partition,find-the-value-of-the-partition,Medium,"array,sorting"
2741,Special Permutations,special-permutations,Medium,"array,dynamic-programming,bit-manipulation,bitmask"
2742,Painting the Walls,painting-the-walls,Hard,"array,dynamic-programming"
2743,Count Substrings Without Repeating Character,count-substrings-without-repeating-character,Medium,"hash-table,string,sliding-window"
2744,Find Maximum Number of String Pairs,find-maximum-number-of-string-pairs,Easy,"array,hash-table,string,simulation"
2745,Construct the Longest New String,construct-the-longest-new-string,Medium,"math,greedy,brainteaser"
2746,Decremental String Concatenation,decremental-string-concatenation,Medium,"array,string,dynamic-programming"
2747,Count Zero Request Servers,count-zero-request-servers,Medium,"array,hash-table,sliding-window,sorting"
2748,Number of Beautiful Pairs,number-of-beautiful-pairs,Easy,"array,math,number-theory"
2749,Minimum Operations to Make the Integer Zero,minimum-operations-to-make-the-integer-zero,Medium,"bit-manipulation,brainteaser"
2750,Ways to Split Array Into Good Subarrays,ways-to-split-array-into-good-subarrays,Medium,"array,math,dynamic-programming"
2751,Robot Collisions,robot-collisions,Hard,"array,stack,sorting,simulation"
2752,Customers with Maximum Number of Transactions on Consecutive Days,customers-with-maximum-number-of-transactions-on-consecutive-days,Hard,database
2753,Count Houses in a Circular Street II,count-houses-in-a-circular-street-ii,Hard,
2754,Bind Function to Context,bind-function-to-context,Medium,
2755,Deep Merge of Two Objects,deep-merge-of-two-objects,Medium,
2756,Query Batching,query-batching,Hard,
2757,Generate Circular Array Values,generate-circular-array-values,Medium,
2758,Next Day,next-day,Easy,
2759,Convert JSON String to Object,convert-json-string-to-object,Hard,
2760,Longest Even Odd Subarray With Threshold,longest-even-odd-subarray-with-threshold,Easy,"array,sliding-window"
2761,Prime Pairs With Target Sum,prime-pairs-with-target-sum,Medium,"array,math,enumeration,number-theory"
2762,Continuous Subarrays,continuous-subarrays,Medium,"array,queue,sliding-window,heap-priority-queue,ordered-set,monotonic-queue"
2763,Sum of Imbalance Numbers of All Subarrays,sum-of-imbalance-numbers-of-all-subarrays,Hard,"array,hash-table,ordered-set"
2764,is Array a Preorder of Some ‌Binary Tree,is-array-a-preorder-of-some-binary-tree,Medium,"stack,tree,depth-first-search,binary-tree"
2765,Longest Alternating Subarray,longest-alternating-subarray,Easy,"array,enumeration"
2766,Relocate Marbles,relocate-marbles,Medium,"array,hash-table,sorting,simulation"
2767,Partition String Into Minimum Beautiful Substrings,partition-string-into-minimum-beautiful-substrings,Medium,"hash-table,string,dynamic-programming,backtracking"
2768,Number of Black Blocks,number-of-black-blocks,Medium,"array,hash-table,enumeration"
2769,Find the Maximum Achievable Number,find-the-maximum-achievable-number,Easy,math
2770,Maximum Number of Jumps to Reach the Last Index,maximum-number-of-jumps-to-reach-the-last-index,Medium,"array,dynamic-programming"
2771,Longest Non-decreasing Subarray From Two Arrays,longest-non-decreasing-subarray-from-two-arrays,Medium,"array,dynamic-programming"
2772,Apply Operations to Make All Array Elements Equal to Zero,apply-operations-to-make-all-array-elements-equal-to-zero,Medium,"array,prefix-sum"
2773,Height of Special Binary Tree,height-of-special-binary-tree,Medium,
2774,Array Upper Bound,array-upper-bound,Easy,
2775,Undefined to Null,undefined-to-null,Medium,
2776,Convert Callback Based Function to Promise Based Function,convert-callback-based-function-to-promise-based-function,Medium,
2777,Date Range Generator,date-range-generator,Medium,
2778,Sum of Squares of Special Elements,sum-of-squares-of-special-elements,Easy,"array,simulation"
2779,Maximum Beauty of an Array After Applying Operation,maximum-beauty-of-an-array-after-applying-operation,Medium,"array,binary-search,sliding-window,sorting"
2780,Minimum Index of a Valid Split,minimum-index-of-a-valid-split,Medium,"array,hash-table,sorting"
2781,Length of the Longest Valid Substring,length-of-the-longest-valid-substring,Hard,"array,hash-table,string,sliding-window"
2782,Number of Unique Categories,number-of-unique-categories,Medium,"union-find,counting"
2783,Flight Occupancy and Waitlist Analysis,flight-occupancy-and-waitlist-analysis,Medium,database
2784,Check if Array is Good,check-if-array-is-good,Easy,"array,hash-table,sorting"
2785,Sort Vowels in a String,sort-vowels-in-a-string,Medium,"string,sorting"
2786,Visit Array Positions to Maximize Score,visit-array-positions-to-maximize-score,Medium,"array,dynamic-programming"
2787,Ways to Express an Integer as Sum of Powers,ways-to-express-an-integer-as-sum-of-powers,Medium,dynamic-programming
2788,Split Strings by Separator,split-strings-by-separator,Easy,"array,string"
2789,Largest Element in an Array after Merge Operations,largest-element-in-an-array-after-merge-operations,Medium,"array,greedy,prefix-sum"
2790,Maximum Number of Groups With Increasing Length,maximum-number-of-groups-with-increasing-length,Hard,"array,math,binary-search,greedy,sorting"
2791,Count Paths That Can Form a Palindrome in a Tree,count-paths-that-can-form-a-palindrome-in-a-tree,Hard,"dynamic-programming,bit-manipulation,tree,depth-first-search,bitmask"
2792,Count Nodes That Are Great Enough,count-nodes-that-are-great-enough,Hard,
2793,Status of Flight Tickets,status-of-flight-tickets,Hard,
2794,Create Object from Two Arrays,create-object-from-two-arrays,Easy,
2795,Parallel Execution of Promises for Individual Results Retrieval,parallel-execution-of-promises-for-individual-results-retrieval,Medium,
2796,Repeat String,repeat-string,Easy,
2797,Partial Function with Placeholders,partial-function-with-placeholders,Easy,
2798,Number of Employees Who Met the Target,number-of-employees-who-met-the-target,Easy,"array,enumeration"
2799,Count Complete Subarrays in an Array,count-complete-subarrays-in-an-array,Medium,"array,hash-table,sliding-window"
2800,Shortest String That Contains Three Strings,shortest-string-that-contains-three-strings,Medium,"string,greedy,enumeration"
2801,Count Stepping Numbers in Range,count-stepping-numbers-in-range,Hard,"string,dynamic-programming"
2802,Find The K-th Lucky Number,find-the-k-th-lucky-number,Medium,
2803,Factorial Generator,factorial-generator,Easy,
2804,Array Prototype ForEach,array-prototype-foreach,Easy,
2805,Custom Interval,custom-interval,Medium,
2806,Account Balance After Rounded Purchase,account-balance-after-rounded-purchase,Easy,math
2807,Insert Greatest Common Divisors in Linked List,insert-greatest-common-divisors-in-linked-list,Medium,"array,linked-list,math"
2808,Minimum Seconds to Equalize a Circular Array,minimum-seconds-to-equalize-a-circular-array,Medium,"array,hash-table,greedy"
2809,Minimum Time to Make Array Sum At Most x,minimum-time-to-make-array-sum-at-most-x,Hard,"array,dynamic-programming,sorting"
2810,Faulty Keyboard,faulty-keyboard,Easy,"string,simulation"
2811,Check if it is Possible to Split Array,check-if-it-is-possible-to-split-array,Medium,"array,dynamic-programming,greedy"
2812,Find the Safest Path in a Grid,find-the-safest-path-in-a-grid,Medium,"array,binary-search,breadth-first-search,union-find,matrix"
2813,Maximum Elegance of a K-Length Subsequence,maximum-elegance-of-a-k-length-subsequence,Hard,"array,hash-table,greedy,sorting,heap-priority-queue"
