QID,title,titleSlug,difficulty,acceptanceRate,paidOnly,topicTags,categorySlug
1,Two Sum,two-sum,Easy,50.88008242349022,False,"array,hash-table",algorithms
2,Add Two Numbers,add-two-numbers,Medium,41.39381386239914,False,"linked-list,math,recursion",algorithms
3,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,Medium,34.06986854268168,False,"hash-table,string,sliding-window",algorithms
4,Median of Two Sorted Arrays,median-of-two-sorted-arrays,Hard,38.176829188921815,False,"array,binary-search,divide-and-conquer",algorithms
5,Longest Palindromic Substring,longest-palindromic-substring,Medium,32.8433556860702,False,"string,dynamic-programming",algorithms
6,Zigzag Conversion,zigzag-conversion,Medium,46.10928668394673,False,string,algorithms
7,Reverse Integer,reverse-integer,Medium,27.913444081812557,False,math,algorithms
8,String to Integer (atoi),string-to-integer-atoi,Medium,16.79037626995601,False,string,algorithms
9,Palindrome Number,palindrome-number,Easy,54.61762583391439,False,math,algorithms
10,Regular Expression Matching,regular-expression-matching,Hard,27.863676784939827,False,"string,dynamic-programming,recursion",algorithms
11,Container With Most Water,container-with-most-water,Medium,54.22863973280311,False,"array,two-pointers,greedy",algorithms
12,Integer to Roman,integer-to-roman,Medium,63.26049001471792,False,"hash-table,math,string",algorithms
13,Roman to Integer,roman-to-integer,Easy,59.59936392085786,False,"hash-table,math,string",algorithms
14,Longest Common Prefix,longest-common-prefix,Easy,41.66274651546841,False,"string,trie",algorithms
15,3Sum,3sum,Medium,33.42454346029048,False,"array,two-pointers,sorting",algorithms
16,3Sum Closest,3sum-closest,Medium,45.48490606077871,False,"array,two-pointers,sorting",algorithms
17,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,Medium,58.796540409120446,False,"hash-table,string,backtracking",algorithms
18,4Sum,4sum,Medium,35.783518565932255,False,"array,two-pointers,sorting",algorithms
19,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,Medium,42.7910032315187,False,"linked-list,two-pointers",algorithms
20,Valid Parentheses,valid-parentheses,Easy,40.18781307447294,False,"string,stack",algorithms
21,Merge Two Sorted Lists,merge-two-sorted-lists,Easy,63.29006697438445,False,"linked-list,recursion",algorithms
22,Generate Parentheses,generate-parentheses,Medium,73.53617606088086,False,"string,dynamic-programming,backtracking",algorithms
23,Merge k Sorted Lists,merge-k-sorted-lists,Hard,51.11474841449849,False,"linked-list,divide-and-conquer,heap-priority-queue,merge-sort",algorithms
24,Swap Nodes in Pairs,swap-nodes-in-pairs,Medium,63.22594505013925,False,"linked-list,recursion",algorithms
25,Reverse Nodes in k-Group,reverse-nodes-in-k-group,Hard,56.79048011216439,False,"linked-list,recursion",algorithms
26,Remove Duplicates from Sorted Array,remove-duplicates-from-sorted-array,Easy,53.43240673490401,False,"array,two-pointers",algorithms
27,Remove Element,remove-element,Easy,54.86017334568361,False,"array,two-pointers",algorithms
28,Find the Index of the First Occurrence in a String,find-the-index-of-the-first-occurrence-in-a-string,Easy,40.71055448297938,False,"two-pointers,string,string-matching",algorithms
29,Divide Two Integers,divide-two-integers,Medium,17.115145831252352,False,"math,bit-manipulation",algorithms
30,Substring with Concatenation of All Words,substring-with-concatenation-of-all-words,Hard,31.552100783359766,False,"hash-table,string,sliding-window",algorithms
31,Next Permutation,next-permutation,Medium,38.708690492764,False,"array,two-pointers",algorithms
32,Longest Valid Parentheses,longest-valid-parentheses,Hard,33.29844864253088,False,"string,dynamic-programming,stack",algorithms
33,Search in Rotated Sorted Array,search-in-rotated-sorted-array,Medium,40.04718491027312,False,"array,binary-search",algorithms
34,Find First and Last Position of Element in Sorted Array,find-first-and-last-position-of-element-in-sorted-array,Medium,43.41342574634985,False,"array,binary-search",algorithms
35,Search Insert Position,search-insert-position,Easy,44.571846818354324,False,"array,binary-search",algorithms
36,Valid Sudoku,valid-sudoku,Medium,58.72681326455825,False,"array,hash-table,matrix",algorithms
37,Sudoku Solver,sudoku-solver,Hard,59.411941215056316,False,"array,hash-table,backtracking,matrix",algorithms
38,Count and Say,count-and-say,Medium,53.41365999167936,False,string,algorithms
39,Combination Sum,combination-sum,Medium,70.10998494951677,False,"array,backtracking",algorithms
40,Combination Sum II,combination-sum-ii,Medium,53.79072104835121,False,"array,backtracking",algorithms
41,First Missing Positive,first-missing-positive,Hard,37.22364852873387,False,"array,hash-table",algorithms
42,Trapping Rain Water,trapping-rain-water,Hard,60.04138328429618,False,"array,two-pointers,dynamic-programming,stack,monotonic-stack",algorithms
43,Multiply Strings,multiply-strings,Medium,39.55500878929844,False,"math,string,simulation",algorithms
44,Wildcard Matching,wildcard-matching,Hard,27.30246937196589,False,"string,dynamic-programming,greedy,recursion",algorithms
45,Jump Game II,jump-game-ii,Medium,40.15304655914718,False,"array,dynamic-programming,greedy",algorithms
46,Permutations,permutations,Medium,77.34532213919081,False,"array,backtracking",algorithms
47,Permutations II,permutations-ii,Medium,58.14400335941995,False,"array,backtracking",algorithms
48,Rotate Image,rotate-image,Medium,72.80199800060747,False,"array,math,matrix",algorithms
49,Group Anagrams,group-anagrams,Medium,67.07812298096863,False,"array,hash-table,string,sorting",algorithms
50,"Pow(x, n)",powx-n,Medium,34.06606061897503,False,"math,recursion",algorithms
51,N-Queens,n-queens,Hard,66.35320780657565,False,"array,backtracking",algorithms
52,N-Queens II,n-queens-ii,Hard,72.70042338891297,False,backtracking,algorithms
53,Maximum Subarray,maximum-subarray,Medium,50.37937839458381,False,"array,divide-and-conquer,dynamic-programming",algorithms
54,Spiral Matrix,spiral-matrix,Medium,47.79639924285807,False,"array,matrix,simulation",algorithms
55,Jump Game,jump-game,Medium,38.59351049567252,False,"array,dynamic-programming,greedy",algorithms
56,Merge Intervals,merge-intervals,Medium,46.611354298444965,False,"array,sorting",algorithms
57,Insert Interval,insert-interval,Medium,39.46277565909468,False,array,algorithms
58,Length of Last Word,length-of-last-word,Easy,46.58579014741382,False,string,algorithms
59,Spiral Matrix II,spiral-matrix-ii,Medium,70.22625896351046,False,"array,matrix,simulation",algorithms
60,Permutation Sequence,permutation-sequence,Hard,45.66522191090871,False,"math,recursion",algorithms
61,Rotate List,rotate-list,Medium,36.86874062258197,False,"linked-list,two-pointers",algorithms
62,Unique Paths,unique-paths,Medium,63.7113543593549,False,"math,dynamic-programming,combinatorics",algorithms
63,Unique Paths II,unique-paths-ii,Medium,41.01211909127532,False,"array,dynamic-programming,matrix",algorithms
64,Minimum Path Sum,minimum-path-sum,Medium,62.96782665791202,False,"array,dynamic-programming,matrix",algorithms
65,Valid Number,valid-number,Hard,18.986035075382652,False,string,algorithms
66,Plus One,plus-one,Easy,44.30623006374971,False,"array,math",algorithms
67,Add Binary,add-binary,Easy,52.77325243861413,False,"math,string,bit-manipulation,simulation",algorithms
68,Text Justification,text-justification,Hard,41.49036817051868,False,"array,string,simulation",algorithms
69,Sqrt(x),sqrtx,Easy,38.00745591976201,False,"math,binary-search",algorithms
70,Climbing Stairs,climbing-stairs,Easy,52.22890424513877,False,"math,dynamic-programming,memoization",algorithms
71,Simplify Path,simplify-path,Medium,41.0763507784927,False,"string,stack",algorithms
72,Edit Distance,edit-distance,Medium,55.52540774620183,False,"string,dynamic-programming",algorithms
73,Set Matrix Zeroes,set-matrix-zeroes,Medium,53.67087959251524,False,"array,hash-table,matrix",algorithms
74,Search a 2D Matrix,search-a-2d-matrix,Medium,49.300144502725836,False,"array,binary-search,matrix",algorithms
75,Sort Colors,sort-colors,Medium,60.58366352283521,False,"array,two-pointers,sorting",algorithms
76,Minimum Window Substring,minimum-window-substring,Hard,41.317289183685524,False,"hash-table,string,sliding-window",algorithms
77,Combinations,combinations,Medium,69.4208227498667,False,backtracking,algorithms
78,Subsets,subsets,Medium,76.28639420805096,False,"array,backtracking,bit-manipulation",algorithms
79,Word Search,word-search,Medium,40.8188869818961,False,"array,backtracking,matrix",algorithms
80,Remove Duplicates from Sorted Array II,remove-duplicates-from-sorted-array-ii,Medium,55.40280920808583,False,"array,two-pointers",algorithms
81,Search in Rotated Sorted Array II,search-in-rotated-sorted-array-ii,Medium,37.28491961925401,False,"array,binary-search",algorithms
82,Remove Duplicates from Sorted List II,remove-duplicates-from-sorted-list-ii,Medium,46.61322123406438,False,"linked-list,two-pointers",algorithms
83,Remove Duplicates from Sorted List,remove-duplicates-from-sorted-list,Easy,51.556705772036736,False,linked-list,algorithms
84,Largest Rectangle in Histogram,largest-rectangle-in-histogram,Hard,43.43118085574035,False,"array,stack,monotonic-stack",algorithms
85,Maximal Rectangle,maximal-rectangle,Hard,45.97677598173074,False,"array,dynamic-programming,stack,matrix,monotonic-stack",algorithms
86,Partition List,partition-list,Medium,55.18919828217459,False,"linked-list,two-pointers",algorithms
87,Scramble String,scramble-string,Hard,39.34686868127302,False,"string,dynamic-programming",algorithms
88,Merge Sorted Array,merge-sorted-array,Easy,48.14062275748148,False,"array,two-pointers,sorting",algorithms
89,Gray Code,gray-code,Medium,58.06986844324506,False,"math,backtracking,bit-manipulation",algorithms
90,Subsets II,subsets-ii,Medium,56.58792018593051,False,"array,backtracking,bit-manipulation",algorithms
91,Decode Ways,decode-ways,Medium,33.4157658780343,False,"string,dynamic-programming",algorithms
92,Reverse Linked List II,reverse-linked-list-ii,Medium,47.18776190323147,False,linked-list,algorithms
93,Restore IP Addresses,restore-ip-addresses,Medium,48.60154702927699,False,"string,backtracking",algorithms
94,Binary Tree Inorder Traversal,binary-tree-inorder-traversal,Easy,74.84647864054354,False,"stack,tree,depth-first-search,binary-tree",algorithms
95,Unique Binary Search Trees II,unique-binary-search-trees-ii,Medium,56.52742701823475,False,"dynamic-programming,backtracking,tree,binary-search-tree,binary-tree",algorithms
96,Unique Binary Search Trees,unique-binary-search-trees,Medium,60.45555493291728,False,"math,dynamic-programming,tree,binary-search-tree,binary-tree",algorithms
97,Interleaving String,interleaving-string,Medium,39.345911590229434,False,"string,dynamic-programming",algorithms
98,Validate Binary Search Tree,validate-binary-search-tree,Medium,32.38737233410382,False,"tree,depth-first-search,binary-search-tree,binary-tree",algorithms
